ANIO,MES,ENTIDAD,T_Max,T_Min,T_Med
1991,ENE,NAC,24.943439585802096,9.139926235600013,17.041682910701056
1991,FEB,NAC,26.247155343111345,9.846788728032594,18.046972035571976
1991,MAR,NAC,29.61823100908035,11.203911969372523,20.411071489226437
1991,ABR,NAC,31.451049101757782,13.581441306189387,22.516245203973586
1991,MAY,NAC,32.01461488486927,15.212770503146446,23.613692694007856
1991,JUN,NAC,31.093772758533717,16.483758217202993,23.788765487868364
1991,JUL,NAC,28.82826250490019,16.557815030810882,22.69303876785554
1991,AGO,NAC,30.069512846314797,16.4111026630111,23.24030775466295
1991,SEP,NAC,28.112115437677758,15.915780189579998,22.013947813628874
1991,OCT,NAC,27.711961228593776,14.125418807834672,20.918690018214225
1991,NOV,NAC,25.576920089146196,10.75824616856773,18.16758312885697
1991,DIC,NAC,24.00165169204034,10.329866954571084,17.16575932330571
