Ciclones que han impactado a México (1970 - 2020),,,,,,,
,,,,,,,
"
N°","
Nombre","
Impacto en tierra","
Fecha de impacto","Categoría
máxima","Categoría 
en impacto","Velocidad 
en impacto (km/h)","
Costa"
156,NATE,"25 Km Al Noroeste De Pto. Veracruz, Ver.",2011/09/11,TT,TT,95,Atlántico
157,NEWTON,"Yavaros, Son.",1986/09/23,H1,H1,120,Pacífico
,,45 Km de Ciudad Constitución y 145 Km al Sur de Loreto,2016/09/06,H1,H1,120,Pacífico
,,A 15 Km al Este-Sureste de Bahía Kino y a 125 Km al Noroeste de Guaymas,2016/09/07,H1,TT,110,Pacífico
158,NORA,"B. Tortugas, Bcs.",1997/09/24,H1,H1,130,Pacífico
,,"P. Canoas, Bc.",1997/09/25,H1,H1,120,Pacífico
,,"Cruz De Elota, Sin.",2003/10/08,DT,DT,45,Pacífico
159,NORBERT,"Abreojos, Bcs.",1984/09/26,TT,TT,110,Pacífico
,,"Pto. Cortés, Bcs.",2008/10/11,H2,H2,165,Pacífico
,,"Yavaros, Son.",2008/10/11,H2,H1,140,Pacífico
160,NORMA,"Punta Abreojos, Bcs.",1970/09/06,DT,DT,45,Pacífico
,,"Tecpan De Gal., Gro.",1974/09/10,TT,TT,85,Pacífico
,,"Marmol, Sin.",1981/10/12,H2,H2,165,Pacífico
,,"Todos Santos, Bcs.",1987/09/20,DT,DT,45,Pacífico
161,NORMAN,"Bahia Bufadero, Mich.",2000/09/20,TT,TT,75,Pacífico
,,"Mazatlán, Sin.",2000/09/22,TT,DT,55,Pacífico
,,"40 Km Al Oeste De Manzanillo, Col.",2006/10/15,DT,DT,55,Pacífico
,,"Topolobampo, Sin.",2012/09/29,TT,DT,55,Pacífico
162,OCTAVE,"San Andresito, Bcs.",2013/10/15,DT,DT,55,Pacífico
163,ODILE,"Lázaro Cardenas, Mich.",1984/09/22,TT,TT,93,Pacífico
,,"50 Km Al Suroeste De Lázaro Cardenas, Mich.",2008/10/11,TT,TT,100,Pacífico
,,"Cabo San Lucas, Bcs.",2014/09/14,H4,H3,205,Pacífico
,,"Puerto Peñasco, Son.",2014/09/17,H4,TT,65,Pacífico
164,OLAF,"Bocabarra, Oax.",1997/09/28,TT,TT,85,Pacífico
,,"Manzanillo, Col.",1997/10/12,TT,DT,45,Pacífico
,,"Cihuatlán, Jal.",2003/10/07,TT,TT,100,Pacífico
,,"55 Km Al Suroeste De Puerto Cortés, Bcs.",2009/10/03,DT,DT,45,Pacífico
165,OLIVIA,"Punta Abreojos, Bcs.",1971/10/01,DT,DT,45,Pacífico
,,"Villa Unión, Sin.",1975/10/25,H3,H3,185,Pacífico
,,"Custepec, Chis. (En tierra)",1978/09/20,TT,DT,55,Pacífico
,,"Zapata, Chis.",1978/09/22,TT,TT,93,Pacífico
166,OPAL,"B. Espíritu Santo, QRoo.",1995/09/27,DT,DT,55,Atlántico
167,ORLENE,"Arriaga, Chis.",1970/09/09,DT,DT,55,Pacífico
,,"Lag. Monroy, Oax.",1974/09/21,H1,DT,55,Pacífico
,,"La Cruz, Sin.",1974/09/24,H1,H1,150,Pacífico
168,OTIS,"Caimanero, Sin.",1981/10/30,TT,TT,100,Pacífico
169,PAINE,"Topolobampo,Sin.",1986/10/02,H1,H1,148,Pacífico
170,PATRICIA,"25 Km Al Sur De San José Del Cabo, Bcs.",2009/10/14,DT,DT,45,Pacífico
,,Bahías de Tenacatita,2015/10/23,H5,H4,240,Pacífico
171,PAUL,"Las Glorias, Sin.",1978/09/26,DT,DT,55,Pacífico
,,"Las Lagunas, Bcs.",1982/09/30,H2,H2,158,Pacífico
,,"Topolobampo, Sin.",1982/09/30,H2,H2,158,Pacífico
,,"Punta Lucenilla, Sin.",2006/10/25,DT,DT,45,Pacífico
,,"Cabo San Lázaro, Bcs.",2012/10/16,H3,H1,120,Pacífico
172,PAULINE,"Puerto Angel, Oax.",1997/10/08,H3,H3,195,Pacífico
,,"Acapulco, Gro.",1997/10/08,H3,H2,165,Pacífico
173,POLO,"La Aguja Y Pichilingue, Bcs.",1984/10/03,DT,DT,56,Pacífico
174,PRISCILLA,"Santa Cruz, Nay.",1971/10/13,TT,TT,75,Pacífico
,,"Inmediaciones de El Paraíso, a 7 km al suroeste de Armería",2019/10/20,TT,TT,65,Pacífico
175,RACHEL,"C. Sn.Lucas, Bcs.",1990/10/02,TT,TT,110,Pacífico
,,"Los Mochis, Sin.",1990/10/02,TT,TT,93,Pacífico
176,RAYMOND,"Pta. Abreojos, Bcs.",1989/10/04,TT,TT,85,Pacífico
,,"B. Kino, Son.",1989/10/05,TT,TT,65,Pacífico
177,RICHARD,"155 Km Al Sureste De Cd. Del Carmen, Camp.",2010/10/25,DT,DT,55,Atlántico
178,RICK,"Puerto Escondido, Oax.",1997/11/08,H1,H1,140,Pacífico
,,"Mazatlán, Sin.",2009/10/21,TT,TT,90,Pacífico
179,RINA,"30 Km Al Oeste De Cozumel, QRoo.",2011/10/27,TT,TT,95,Atlántico
180,ROSA,"Escuinapa, Sin.",1994/10/13,H2,H2,165,Pacífico
,,"Puerto Angel, Oax.",2000/11/08,TT,TT,75,Pacífico
,,55 km al noroeste de San José de las Palomas,2018/10/02,H4,DT,55,Pacífico
181,ROSLYN,"Mazatlán, Sin.",1986/10/22,H1,H1,120,Pacífico
182,ROXANNE,"Tulúm, QRoo.",1995/10/10,H3,H3,185,Atlántico
,,"Mtz. De La Torre, Ver.",1995/10/20,H3,DT,45,Atlántico
183,SERGIO,Primer impacto: 75 km al suroeste de Santa Rosalía,2018/10/12,H5,TT,70,Pacífico
,,Segundo impacto: Reserva Especial de la Biósfera Cajón del Diablo,2018/10/12,H5,TT,65,Pacífico
184,SONIA,"El Dorado, Sin.",2013/11/04,TT,TT,65,Pacífico
185,STAN,"Felipe C. Puerto, QRoo.",2005/10/02,H1,TT,75,Atlántico
,,"San Andrés Tuxtla, Ver.",2005/10/04,H1,H1,130,Atlántico
186,TICO,"Caimanero, Sin.",1983/10/19,H3,H3,205,Pacífico
187,TRUDY,"Marquelia, Gro.",2014/10/18,TT,TT,95,Pacífico
188,VANCE,"Escuinapa, Sin.",2014/11/05,H2,DT,55,Pacífico
189,VICENTE,"En la población de La Mira, al oeste-noroeste de Lázaro Cárdenas",2018/10/23,TT,DT,55,Pacífico
